Sr No	Token	Original Token	UPOS	EngPOS	SPOS	case	Gender	Number	Person	Morphology Form	Lema	pronunciation
2	سڄي	سڄ	ADJ	JJ 	صفت					Morphology Form = Bound	سڄي	Sajji
3	رات	رات	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	رات	Raat
4	پڙهندي	پڙه	VERB	VB 	فعل					Morphology Form = Bound	پڙه	parhande
5	رهي	ره	VERB	VB 	فعل					Morphology Form = Bound	رهي	Rahay
6	.	.	PERIOD		پورو دم							Dot
1	هوءَ	هوءَ	DET	DT 	ضمير اشارو	Case = Nom				Morphology Form = Bound	هوءَ	Hooa
2	اڄ	اڄ	ADV	RB 	ظرف			Number = Sing		Morphology Form = Simple	اڄ	Ajj
3	تمام	تمام	ADV	RB 	ظرف					Morphology Form = Simple	تمام	Tamam
4	گھڻي	گھڻي	ADJ	JJ 	صفت					Morphology Form = Simple	گھڻي	Ghanni
5	خوش	خوش	ADJ	JJ 	صفت	Case = ACC				Morphology Form = Simple	خوش	Khush
6	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
7	.	.	PERIOD		پورو دم							Dot
1	هُو	هُو	DET	DT 	ضمير اشارو	Case = Nom				Morphology Form = Simple	هُو	Hoo
2	ڇوڪري	ڇوڪرِ	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ڇوڪرِ	chhokri
3	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
4	ڏسي	ڏس	VERB	VB 	فعل					Morphology Form = Bound	ڏس	Ddisi
5	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
6	.	.	PERIOD		پورو دم							Dot
1	هُو	هُو	DET	DT 	ضمير اشارو	Case = Nom				Morphology Form = Simple	هُو	Hoo
2	اڄ	اڄ	ADV	RB 	ظرف			Number = Sing		Morphology Form = Simple	اڄ	Ajj
3	تمام	تمام	ADV	RB 	ظرف					Morphology Form = Simple	تمام	Tamam
4	گھڻو	گھڻو	ADJ	JJ 	صفت					Morphology Form = Simple	گھڻو	Ghanno
5	خوش	خوش	ADJ	JJ 	صفت	Case = ACC				Morphology Form = Simple	خوش	Khush
6	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
7	.	.	PERIOD		پورو دم							Dot
1	هن	هن	DET	DT 	ضمير اشارو					Morphology Form = Simple	هن	Hin
2	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
3	ڪهڙي	ڪهڙي	ADV	RB 	ظرف					Morphology Form = Simple	ڪهڙي	kehrri
4	خبر	خبر	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	خبر	Khabar
5	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
6	هُو	هُو	DET	DT 	ضمير اشارو					Morphology Form = Simple	هُو	Hoo
7	منهنجي	منهن	PRON	PRP 	ضمير	Case = Possessive				Morphology Form = Bound	منهنجي	Muhnji
8	زندگي	زندگي	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	زندگي	Zindagi
9	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
10	.	.	PERIOD		پورو دم							Dot
1	هن	هن	DET	DT 	ضمير اشارو					Morphology Form = Simple	هن	Hin
2	جا	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Ja
3	دوست	دوست	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	دوست	Doast
4	هن	هن	DET	DT 	ضمير اشارو					Morphology Form = Simple	هن	Hin
5	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
6	ايماندار	ايمان	ADJ	JJ 	صفت	Case = ACC	Gender = Masc	Number = Sing		Morphology Form = Bound	ايماندار	Eamaandar
7	سمجھن	سمجھ	VERB	VB 	فعل					Morphology Form = Bound	سمجھ	Samjhan
8	ٿا	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	thaa
9	.	.	PERIOD		پورو دم							Dot
1	سچ	سچ	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	سچ	sach
2	ڳالهائڻ	ڳاله	VERB	VB 	فعل	Case = ACC				Morphology Form = Bound	ڳاله	Ghaalhaaen
3	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
4	.	.	PERIOD		پورو دم							Dot
1	هميشه	هميشه	ADV	RB 	ظرف					Morphology Form = Simple	هميشه	Hamesha
2	سٺو	سٺو	ADJ	JJ 	صفت					Morphology Form = Bound	سٺو	Sutho
3	سوچڻ	سوچ	VERB	VB 	فعل					Morphology Form = Simple	سوچ	Sochan
4	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
5	.	.	PERIOD		پورو دم							Dot
1	هميشه	هميشه	ADV	RB 	ظرف					Morphology Form = Simple	هميشه	Hamesha
2	حق	حق	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	حق	Haq
3	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
4	سچ	سچ	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	سچ	sach
5	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
6	ساٿ	ساٿ	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ساٿ	Saath
7	ڏجي	ڏج	VERB	VB 	فعل					Morphology Form = Bound	ڏجي	Ddijay
7	.	.	PERIOD		پورو دم							Dot
1	هر	هر	DET	DT 	ضمير اشارو					Morphology Form = Simple	هر	Har
2	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
3	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
4	اهميت	اهميت	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing		Morphology Form = Simple	اهميت	Ahmyat
5	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
6	عزت	عزت	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	عزت	izat
7	ڏيڻ	ڏي	VERB	VB 	فعل					Morphology Form = Simple	ڏيڻ	ddian
8	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
9	.	.	PERIOD		پورو دم							Dot
1	هر	هر	DET	DT 	ضمير اشارو					Morphology Form = Simple	هر	Har
2	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
3	صرف	صرف	ADV	RB 	ظرف					Morphology Form = Simple	صرف	Sirf
4	پنهنجي	پنهنجي	PRON	PRP 	ضمير					Morphology Form = Bound	پنهنجي	Pahenji
5	لاءِ	لاءِ	ADP	IN 	حرفِ جر					Morphology Form = Simple	لاءِ	Lae
6	سوچي	سوچ	VERB	VB 	فعل	Case = ACC				Morphology Form = Bound	سوچ	Sochay
7	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
8	.	.	PERIOD		پورو دم							Dot
1	هر	هر	DET	DT 	ضمير اشارو					Morphology Form = Simple	هر	Har
2	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
3	پنهنجي	پنهنجي	PRON	PRP 	ضمير					Morphology Form = Bound	پنهنجي	Pahenji
4	ذميواري	ذميوار	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing		Morphology Form = Bound	ذميوار	Zimewaari
5	نڀائي	نڀاءِ	VERB	VB 	فعل					Morphology Form = Bound	نڀاءِ	Nibhai
6	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
7	معاشرو	معاشرو	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	معاشرو	Muaashiro
8	بهترين	بهتر	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Bound	بهتر	Behtareen
9	ٿيندو	ٿي	VERB	VBG 	فعل					Morphology Form = Bound	ٿي	theendo
10	.	.	PERIOD		پورو دم							Dot
1	نوازشريف	نوازشريف	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	نوازشريف	Nawaz shareef
2	علاج	علاج	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	علاج	Ilaaj
3	لاءِ	لاءِ	ADP	IN 	حرفِ جر					Morphology Form = Simple	لاءِ	Lae
4	لنڊن	لنڊن	PROPN	NNP	اسم خاص	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	لنڊن	London
5	ويو	ويو	VERB	VBD 	فعل					Morphology Form = Bound	ويو	Wayo
5	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
6	.	.	PERIOD		پورو دم							Dot
1	نرم	نرم	ADJ	JJ 	صفت					Morphology Form = Bound	نرم	Naram
2	آهيان	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahyaan
3	بي	بي	ADV		ظرف			Number = Sing		Morphology Form = Simple	بي	Bee
4	ساھ	ساھ	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ساھ	Saah
5	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
6	نه	نه	ADV	RB 	ظرف					Morphology Form = Simple	نه	Na 
7	آهيان	آهيان	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahyaan
8	.	.	PERIOD		پورو دم							Dot
1	نئين	نئين	ADJ	JJ 	صفت					Morphology Form = Bound	نئين	Naeen
2	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
3	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
4	ماحول	ماحول	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماحول	Maahol
5	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
6	سمجھڻ	سمجھ	VERB	VB 	فعل					Morphology Form = Bound	سمجھ	Samjhann
6	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
7	وقت	وقت	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	وقت	Waqt
8	لڳي	لڳ	VERB	VB 	فعل					Morphology Form = Bound	لڳ	Laghay
9	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
10	.	.	PERIOD		پورو دم							Dot
1	مِينهن	مِينهن	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مِينهن	Meehn
2	جي	جي	ADP	IN 	حرفِ جر					Morphology Form = Simple	جي	Je
3	مند	مند	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	مند	Mund
4	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
5	کنڀيون	کنڀي	NOUN	NNS	اسم	Case = ACC		Number = Plur		Morphology Form = Bound	کنڀي	khunbhyoon
6	جام	جام	ADJ	JJ 	صفت					Morphology Form = Simple	جام	Jaam
6	ٿين	ٿي	VERB	VB 	فعل					Morphology Form = Bound	ٿي	thian
7	.	.	PERIOD		پورو دم							Dot
1	مون	مون	PRON	PRP 	ضمير					Morphology Form = Simple	مون	Moo
2	ڏٺو	ڏٺو	VERB	VBD 	فعل					Morphology Form = Simple	ڏٺو	dditho
3	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
4	هُو	هُو	DET	DT 	ضمير اشارو	Case = Nom				Morphology Form = Simple	هُو	Hoo
5	تمام	تمام	ADV	RB 	ظرف					Morphology Form = Simple	تمام	Tamam
6	گھڻو	گھڻو	ADJ	JJ 	صفت					Morphology Form = Simple	گھڻو	Ghanno
7	سوچي	سوچ	VERB	VB 	فعل	Case = ACC				Morphology Form = Bound	سوچ	Sochay
7	رهيو	رهيو	VERB	VBD 	فعل					Morphology Form = Bound	رهيو	Rahyo
8	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
9	.	.	PERIOD		پورو دم							Dot
1	موت	موت	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	موت	Moat
2	جي	جي	ADP	IN 	حرفِ جر					Morphology Form = Simple	جي	Je
3	ڊپ	ڊپ	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ڊپ	Ddap
4	کان	کان	ADP	IN 	حرفِ جر					Morphology Form = Simple	کان	khaan
5	هُو	هُو	DET	DT 	ضمير اشارو	Case = Nom				Morphology Form = Simple	هُو	Hoo
6	اڪيلو	اڪيلو	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Bound	اڪيلو	Akelo
7	سمهي	سمه	VERB	VB 	فعل	Case = ACC				Morphology Form = Bound	سمه	Sumhay
8	ئي	ئي	ADV	RB 	ظرف					Morphology Form = Simple	ئي	Ee
9	نه	نه	ADV	RB 	ظرف					Morphology Form = Simple	نه	Na 
10	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
11	.	.	PERIOD		پورو دم							Dot
1	منهنجي	منهن	PRON	PRP 	ضمير	Case = Possessive				Morphology Form = Bound	منهنجي	Muhnji
2	سوچ	سوچ	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	سوچ	Soch
3	ڪڏهن	ڪڏهن	ADV	RB 	ظرف					Morphology Form = Simple	ڪڏهن	kedehn
4	به	به	ADP	IN 	حرفِ جر					Morphology Form = Simple	به	Bi
5	بدلجي	بدل	VERB	VB 	فعل			Number = Sing		Morphology Form = Bound	بدلجي	Badaljay
6	نٿي	نٿي	ADV	RB 	ظرف					Morphology Form = Bound	نٿي	Nathi
7	سگھي	سگھي	AUX	VB 	فعل معاون					Morphology Form = Bound	سگھي	Saghay
8	.	.	PERIOD		پورو دم							Dot
1	منهنجي	منهن	PRON	PRP 	ضمير	Case = Possessive				Morphology Form = Bound	منهنجي	Muhnji
2	زال	زال	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	زال	Zaal
3	منهنجي	منهن	PRON	PRP 	ضمير	Case = Possessive				Morphology Form = Bound	منهنجي	Muhnji
4	بهترين	بهترين	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Bound	بهتر	Behtareen
5	دوست	دوست	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	دوست	Doast
6	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
7	.	.	PERIOD		پورو دم							Dot
1	مندائتي	مند	ADJ	JJ 	صفت					Morphology Form = Bound	مندائتي	Mundaaeti
2	بارش	بارش	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing		Morphology Form = Simple	بارش	Barish
3	فصلن	فصل	NOUN	NNS	اسم	Case = ACC		Number = Plur		Morphology Form = Bound	فصل	Faslan
4	لاءِ	لاءِ	ADP	IN 	حرفِ جر					Morphology Form = Simple	لاءِ	Lae
5	بهتر	بهتر	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Simple	بهتر	Behtar
6	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
7	.	.	PERIOD		پورو دم							Dot
1	ملڪ	ملڪ	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ملڪ	Mulk
2	سان	سان	ADP	IN 	حرفِ جر					Morphology Form = Bound	سان	Saan
3	محبت	محبت	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	محبت	
4	ايمان	ايمان	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ايمان	Eman
5	جي	جي	ADP	IN 	حرفِ جر					Morphology Form = Simple	جي	Je
6	نشاني	نشان	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	نشان	Nishaani
7	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
8	.	.	PERIOD		پورو دم							Dot
1	مظفر	مظفر	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مظفر	Muzfar
2	نئين	نئين	ADJ	JJ 	صفت					Morphology Form = Bound	نئين	Naeen
3	ٽهي	ٽهي	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ٽهي	tahee
4	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
5	سٺو	سٺو	ADJ	JJ 	صفت					Morphology Form = Bound	سٺو	Sutho
6	شاعر	شاعر	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	شاعر	Shaer
7	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
8	.	.	PERIOD		پورو دم							Dot
1	مظفر	مظفر	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مظفر	Muzfar
2	سٺو	سٺو	ADJ	JJ 	صفت					Morphology Form = Bound	سٺو	Sutho
3	شاعر	شاعر	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	شاعر	Shaer
4	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
5	.	.	PERIOD		پورو دم							Dot
1	مسڪراهٽ	مسڪراهٽ	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	مسڪراهٽ	Muskraahat
